hgnc_id	ensembl_gene_id	ncbi_gene_id	gene_symbol	mim_gene_id	disease_phenotype	disorder_mim	phenotype_category	inheritance	sf_list_version	variants_to_report
HGNC:6770	ENSG00000141646	4089	SMAD4	600993	Hereditary hemorrhagic telangiectasia	175050	Miscellaneous	AD	1.0	All P and LP
HGNC:11389	ENSG00000118046	6794	STK11	602216	Peutz-Jeghers syndrome	175200	Cancer	AD	1.0	All P and LP
HGNC:11772	ENSG00000106799	7046	TGFBR1	190181	Loeys-Dietz syndrome	609192	Cardiovascular	AD	1.0	All P and LP
HGNC:11773	ENSG00000163513	7048	TGFBR2	190182	Loeys-Dietz syndrome	610168	Cardiovascular	AD	1.0	All P and LP
HGNC:26038	ENSG00000135956	55654	TMEM127	613403	Hereditary paraganglioma-pheochromocytoma syndrome	171300	Cancer	AD	3.0	All P and LP
HGNC:28472	ENSG00000170876	79188	TMEM43	612048	Arrhythmogenic right ventricular cardiomyopathy	604400	Cardiovascular	AD	1.0	All P and LP
HGNC:11943	ENSG00000114854	7134	TNNC1	191040	Dilated cardiomyopathy	611879	Cardiovascular	AD	3.1	All P and LP
HGNC:11947	ENSG00000129991	7137	TNNI3	191044	Hypertrophic cardiomyopathy	613690	Cardiovascular	AD	1.0	All P and LP
HGNC:11949	ENSG00000118194	7139	TNNT2	191045	Dilated cardiomyopathy	601494	Cardiovascular	AD	1.0	All P and LP
HGNC:11949	ENSG00000118194	7139	TNNT2	191045	Hypertrophic cardiomyopathy	115195	Cardiovascular	AD	1.0	All P and LP
HGNC:11998	ENSG00000141510	7157	TP53	191170	Li-Fraumeni syndrome	151623	Cancer	AD	1.0	All P and LP
HGNC:12010	ENSG00000140416	7168	TPM1	191010	Hypertrophic cardiomyopathy	115196	Cardiovascular	AD	1.0	All P and LP
HGNC:12261	ENSG00000186439	10345	TRDN	603283	Catecholaminergic polymorphic ventricular tachycardia	615441	Cardiovascular	AR	3.0	All P and LP
HGNC:12261	ENSG00000186439	10345	TRDN	603283	Long QT syndrome	n/a	Cardiovascular	AR	3.0	All P and LP
HGNC:12362	ENSG00000165699	7248	TSC1	605284	Tuberous sclerosis complex	191100	Cancer	AD	1.0	All P and LP
HGNC:12363	ENSG00000103197	7249	TSC2	191092	Tuberous sclerosis complex	613254	Cancer	AD	1.0	All P and LP
HGNC:12403	ENSG00000155657	7273	TTN	188840	Dilated cardiomyopathy (truncating variants only)	604145	Cardiovascular	AD	3.0	P and LP (truncating variants only)
HGNC:12405	ENSG00000118271	7276	TTR	176300	Hereditary transthyretin-related amyloidosis	105210	Miscellaneous	AD	3.1	All P and LP
HGNC:12687	ENSG00000134086	7428	VHL	608537	Von Hippel-Lindau syndrome	193300	Cancer	AD	1.0	All P and LP
HGNC:12796	ENSG00000184937	7490	WT1	607102	WT1-related Wilms tumor	194070	Cancer	AD	1.0	All P and LP
